NET	The total number of nets: 3153
	0,31,21
	0,31,20
net2006	The number of pins: 2
	0,22,18
	0,22,17
net2007	The number of pins: 2
	0,13,42
	0,16,41
net2008	The number of pins: 2
	0,10,51
	0,11,51
net2009	The number of pins: 2
	0,25,36
	0,25,38
net2010	The number of pins: 2
	0,9,16
	0,9,17
net2011	The number of pins: 2
	0,46,23
	0,46,24
net2012	The number of pins: 2
	0,26,42
	0,26,43
net2013	The number of pins: 2
	0,42,46
	0,40,47
net2014	The number of pins: 2
	0,32,33
	0,32,32
net2015	The number of pins: 2
	0,23,28
	0,23,26
net2016	The number of pins: 2
	0,49,42
	0,49,46
net2017	The number of pins: 2
	0,24,15
	0,23,14
net2018	The number of pins: 2
	0,38,36
	0,38,35
net2019	The number of pins: 2
	0,25,29
	0,25,30
net2020	The number of pins: 2
	0,27,26
	0,26,27
net2021	The number of pins: 2
	0,3,48
	0,3,47
net2022	The number of pins: 2
	0,31,9
	0,31,9
net2023	The number of pins: 2
	0,32,48
	0,33,47
net2024	The number of pins: 2
	0,58,2
	0,59,1
net2025	The number of pins: 2
	0,29,44
	0,29,43
net2026	The number of pins: 2
	0,58,1
	0,58,0
net2027	The number of pins: 2
	0,36,24
	0,36,24
net2028	The number of pins: 2
	0,46,32
	0,46,33
net2029	The number of pins: 2
	0,27,10
	0,27,10
net2030	The number of pins: 2
	0,10,46
	0,11,47
net2031	The number of pins: 2
	0,38,22
	0,38,22
net2032	The number of pins: 2
	0,33,29
	0,31,30
net2033	The number of pins: 2
	0,18,26
	0,18,26
net2034	The number of pins: 2
	0,14,45
	0,13,46
net2035	The number of pins: 2
	0,11,39
	0,12,39
net2036	The number of pins: 2
	0,11,33
	0,10,33
net2037	The number of pins: 2
	0,11,46
	0,15,45
net2038	The number of pins: 2
	0,11,52
	0,11,51
net2039	The number of pins: 2
	0,58,24
	0,59,23
net2040	The number of pins: 2
	0,13,33
	0,12,33
net2041	The number of pins: 2
	0,30,35
	0,30,34
net2042	The number of pins: 2
	0,17,38
	0,16,39
net2043	The number of pins: 2
	0,29,22
	0,29,22
net2044	The number of pins: 2
	0,56,30
	0,56,29
net2045	The number of pins: 2
	0,37,43
	0,38,43
net2046	The number of pins: 2
	0,16,44
	0,16,44
net2047	The number of pins: 2
	0,29,48
	0,29,48
net2048	The number of pins: 2
	0,30,40
	0,31,41
net2049	The number of pins: 2
	0,14,47
	0,13,48
net2050	The number of pins: 2
	0,9,50
	0,9,50
net2051	The number of pins: 2
	0,31,12
	0,32,11
net2052	The number of pins: 2
	0,18,43
	0,19,43
net2053	The number of pins: 2
	0,32,21
	0,33,20
net2054	The number of pins: 2
	0,9,15
	0,10,13
net2055	The number of pins: 2
	0,10,54
	0,10,55
net2056	The number of pins: 2
	0,41,20
	0,41,20
net2057	The number of pins: 2
	0,37,39
	0,38,40
net2058	The number of pins: 2
	0,28,40
	0,28,41
net2059	The number of pins: 2
	0,16,44
	0,17,44
net2060	The number of pins: 2
	0,37,41
	0,36,40
net2061	The number of pins: 2
	0,12,48
	0,12,47
net2062	The number of pins: 2
	0,57,23
	0,56,24
net2063	The number of pins: 2
	0,53,24
	0,53,24
net2064	The number of pins: 2
	0,8,35
	0,11,35
net2065	The number of pins: 2
	0,43,18
	0,43,18
net2066	The number of pins: 2
	0,32,38
	0,32,39
net2067	The number of pins: 2
	0,29,23
	0,29,23
net2068	The number of pins: 2
	0,17,34
	0,17,33
net2069	The number of pins: 2
	0,44,42
	0,42,41
net2070	The number of pins: 2
	0,55,30
	0,55,32
net2071	The number of pins: 2
	0,62,65
	0,61,65
net2072	The number of pins: 2
	0,6,43
	0,8,43
net2073	The number of pins: 2
	0,44,32
	0,44,33
net2074	The number of pins: 2
	0,45,20
	0,45,19
net2075	The number of pins: 2
	0,34,34
	0,34,34
net2076	The number of pins: 2
	0,21,51
	0,21,51
net2077	The number of pins: 2
	0,13,55
	0,14,55
net2078	The number of pins: 2
	0,38,45
	0,38,45
net2079	The number of pins: 2
	0,26,31
	0,25,31
net2080	The number of pins: 2
	0,41,56
	0,40,56
net2081	The number of pins: 2
	0,60,0
	0,60,1
net2082	The number of pins: 2
	0,45,39
	0,45,39
net2083	The number of pins: 2
	0,37,44
	0,36,44
net2084	The number of pins: 2
	0,38,56
	0,40,55
net2085	The number of pins: 2
	0,25,17
	0,25,17
net2086	The number of pins: 2
	0,22,34
	0,22,36
net2087	The number of pins: 2
	0,47,45
	0,43,45
net2088	The number of pins: 2
	0,23,35
	0,20,35
net2089	The number of pins: 2
	0,17,40
	0,17,41
net2090	The number of pins: 2
	0,36,29
	0,35,28
net2091	The number of pins: 2
	0,35,27
	0,34,27
net2092	The number of pins: 2
	0,32,37
	0,33,37
net2093	The number of pins: 2
	0,26,31
	0,26,32
net2094	The number of pins: 2
	0,23,14
	0,23,13
net2095	The number of pins: 2
	0,27,53
	0,27,53
net2096	The number of pins: 2
	0,16,39
	0,16,40
net2097	The number of pins: 2
	0,10,39
	0,11,39
net2098	The number of pins: 2
	0,5,51
	0,4,52
net2099	The number of pins: 2
	0,54,26
	0,55,26
net2100	The number of pins: 2
	0,39,30
	0,38,31
net2101	The number of pins: 2
	0,36,29
	0,35,28
net2102	The number of pins: 2
	0,39,47
	0,38,46
net2103	The number of pins: 2
	0,32,55
	0,31,54
net2104	The number of pins: 2
	0,30,41
	0,29,42
net2105	The number of pins: 2
	0,22,34
	0,22,34
net2106	The number of pins: 2
	0,12,50
	0,13,50
net2107	The number of pins: 2
	0,12,45
	0,13,45
net2108	The number of pins: 2
	0,21,34
	0,21,35
net2109	The number of pins: 2
	0,47,36
	0,47,35
net2110	The number of pins: 2
	0,42,21
	0,41,22
net2111	The number of pins: 2
	0,2,5
	0,1,4
net2112	The number of pins: 2
	0,42,51
	0,42,51
net2113	The number of pins: 2
	0,33,49
	0,34,49
net2114	The number of pins: 2
	0,21,14
	0,21,13
net2115	The number of pins: 2
	0,20,47
	0,20,47
net2116	The number of pins: 2
	0,39,53
	0,39,52
net2117	The number of pins: 2
	0,16,48
	0,16,50
net2118	The number of pins: 2
	0,64,63
	0,64,63
net2119	The number of pins: 2
	0,17,27
	0,16,27
net2120	The number of pins: 2
	0,18,32
	0,18,31
net2121	The number of pins: 2
	0,13,28
	0,13,27
net2122	The number of pins: 2
	0,21,54
	0,21,55
net2123	The number of pins: 2
	0,49,15
	0,50,18
net2124	The number of pins: 2
	0,19,53
	0,19,54
net2125	The number of pins: 2
	0,13,45
	0,15,45
net2126	The number of pins: 2
	0,59,33
	0,58,33
net2127	The number of pins: 2
	0,19,13
	0,19,15
net2128	The number of pins: 2
	0,45,39
	0,45,39
net2129	The number of pins: 2
	0,37,42
	0,38,42
net2130	The number of pins: 2
	0,26,37
	0,27,36
net2131	The number of pins: 2
	0,58,36
	0,59,38
net2132	The number of pins: 2
	0,26,9
	0,27,9
net2133	The number of pins: 2
	0,15,33
	0,15,33
net2134	The number of pins: 2
	0,60,37
	0,59,37
net2135	The number of pins: 2
	0,49,39
	0,48,39
net2136	The number of pins: 2
	0,64,61
	0,64,62
net2137	The number of pins: 2
	0,56,27
	0,53,27
net2138	The number of pins: 2
	0,29,22
	0,29,20
net2139	The number of pins: 2
	0,45,46
	0,45,47
net2140	The number of pins: 2
	0,32,20
	0,32,21
net2141	The number of pins: 2
	0,53,26
	0,53,25
net2142	The number of pins: 2
	0,29,39
	0,29,39
net2143	The number of pins: 2
	0,30,58
	0,31,58
net2144	The number of pins: 2
	0,58,27
	0,57,29
net2145	The number of pins: 2
	0,32,54
	0,32,54
net2146	The number of pins: 2
	0,54,26
	0,54,27
net2147	The number of pins: 2
	0,43,27
	0,43,23
net2148	The number of pins: 2
	0,38,42
	0,39,42
net2149	The number of pins: 2
	0,25,29
	0,25,28
net2150	The number of pins: 2
	0,24,47
	0,25,47
net2151	The number of pins: 2
	0,23,42
	0,24,43
net2152	The number of pins: 2
	0,43,31
	0,43,31
net2153	The number of pins: 2
	0,37,18
	0,36,18
net2154	The number of pins: 2
	0,18,37
	0,17,38
net2155	The number of pins: 2
	0,53,42
	0,53,42
net2156	The number of pins: 2
	0,26,24
	0,26,24
net2157	The number of pins: 2
	0,21,63
	0,20,64
net2158	The number of pins: 2
	0,1,15
	0,2,16
net2159	The number of pins: 2
	0,48,16
	0,48,16
net2160	The number of pins: 2
	0,40,11
	0,43,11
net2161	The number of pins: 2
	0,31,32
	0,31,32
net2162	The number of pins: 2
	0,44,48
	0,43,45
net2163	The number of pins: 2
	0,45,17
	0,47,18
net2164	The number of pins: 2
	0,21,39
	0,21,39
net2165	The number of pins: 2
	0,58,25
	0,58,23
net2166	The number of pins: 2
	0,37,27
	0,37,28
net2167	The number of pins: 2
	0,26,44
	0,27,44
net2168	The number of pins: 2
	0,20,49
	0,20,49
net2169	The number of pins: 2
	0,13,45
	0,13,44
net2170	The number of pins: 2
	0,4,45
	0,3,45
net2171	The number of pins: 2
	0,19,12
	0,18,14
net2172	The number of pins: 2
	0,42,26
	0,42,26
net2173	The number of pins: 2
	0,36,40
	0,32,38
net2174	The number of pins: 2
	0,20,35
	0,22,34
net2175	The number of pins: 2
	0,32,40
	0,32,37
net2176	The number of pins: 2
	0,13,42
	0,13,44
net2177	The number of pins: 2
	0,4,66
	0,4,66
net2178	The number of pins: 2
	0,13,28
	0,14,28
net2179	The number of pins: 2
	0,41,30
	0,41,30
net2180	The number of pins: 2
	0,42,21
	0,42,20
net2181	The number of pins: 2
	0,0,3
	0,1,3
net2182	The number of pins: 2
	0,26,24
	0,26,26
net2183	The number of pins: 2
	0,21,12
	0,20,12
net2184	The number of pins: 2
	0,56,19
	0,56,18
net2185	The number of pins: 2
	0,29,18
	0,29,18
net2186	The number of pins: 2
	0,40,49
	0,40,49
net2187	The number of pins: 2
	0,30,38
	0,31,38
net2188	The number of pins: 2
	0,36,54
	0,36,54
net2189	The number of pins: 2
	0,23,24
	0,23,26
net2190	The number of pins: 2
	0,22,30
	0,23,30
net2191	The number of pins: 2
	0,12,23
	0,11,24
net2192	The number of pins: 2
	0,35,46
	0,35,46
net2193	The number of pins: 2
	0,54,37
	0,55,39
net2194	The number of pins: 2
	0,35,32
	0,34,32
net2195	The number of pins: 2
	0,33,31
	0,32,31
net2196	The number of pins: 2
	0,25,11
	0,27,10
net2197	The number of pins: 2
	0,29,29
	0,30,30
net2198	The number of pins: 2
	0,30,52
	0,30,54
net2199	The number of pins: 2
	0,13,39
	0,14,40
net2200	The number of pins: 2
	0,64,63
	0,64,63
net2201	The number of pins: 2
	0,53,30
	0,52,29
net2202	The number of pins: 2
	0,27,18
	0,27,17
net2203	The number of pins: 2
	0,62,28
	0,62,30
net2204	The number of pins: 2
	0,38,20
	0,39,22
net2205	The number of pins: 2
	0,41,45
	0,41,45
net2206	The number of pins: 2
	0,33,44
	0,33,45
net2207	The number of pins: 2
	0,18,40
	0,19,40
net2208	The number of pins: 2
	0,15,45
	0,16,45
net2209	The number of pins: 2
	0,55,29
	0,55,29
net2210	The number of pins: 2
	0,39,30
	0,40,28
net2211	The number of pins: 2
	0,34,49
	0,35,50
net2212	The number of pins: 2
	0,23,16
	0,23,17
net2213	The number of pins: 2
	0,20,14
	0,21,15
net2214	The number of pins: 2
	0,21,54
	0,22,54
net2215	The number of pins: 2
	0,40,37
	0,39,36
net2216	The number of pins: 2
	0,33,7
	0,34,8
net2217	The number of pins: 2
	0,37,46
	0,37,47
net2218	The number of pins: 2
	0,36,50
	0,37,50
net2219	The number of pins: 2
	0,27,17
	0,27,16
net2220	The number of pins: 2
	0,32,45
	0,31,45
net2221	The number of pins: 2
	0,11,52
	0,9,53
net2222	The number of pins: 2
	0,29,11
	0,28,10
net2223	The number of pins: 2
	0,19,54
	0,19,54
net2224	The number of pins: 2
	0,27,32
	0,26,32
net2225	The number of pins: 2
	0,31,35
	0,31,36
net2226	The number of pins: 2
	0,31,42
	0,29,42
net2227	The number of pins: 2
	0,8,48
	0,8,48
net2228	The number of pins: 2
	0,27,12
	0,27,12
net2229	The number of pins: 2
	0,20,48
	0,20,51
net2230	The number of pins: 2
	0,56,36
	0,52,36
net2231	The number of pins: 2
	0,52,34
	0,52,38
net2232	The number of pins: 2
	0,41,12
	0,43,15
net2233	The number of pins: 2
	0,41,9
	0,40,10
net2234	The number of pins: 2
	0,51,38
	0,51,38
net2235	The number of pins: 2
	0,43,19
	0,41,19
net2236	The number of pins: 2
	0,35,35
	0,35,34
net2237	The number of pins: 2
	0,27,56
	0,27,55
net2238	The number of pins: 2
	0,23,24
	0,23,24
net2239	The number of pins: 2
	0,18,48
	0,18,47
net2240	The number of pins: 2
	0,47,34
	0,47,33
net2241	The number of pins: 2
	0,35,30
	0,35,30
net2242	The number of pins: 2
	0,35,18
	0,35,18
net2243	The number of pins: 2
	0,10,42
	0,11,42
net2244	The number of pins: 2
	0,9,23
	0,8,22
net2245	The number of pins: 2
	0,20,56
	0,20,55
net2246	The number of pins: 2
	0,35,33
	0,35,37
net2247	The number of pins: 2
	0,19,44
	0,19,43
net2248	The number of pins: 2
	0,17,51
	0,17,51
net2249	The number of pins: 2
	0,10,14
	0,10,14
net2250	The number of pins: 2
	0,46,37
	0,46,37
net2251	The number of pins: 2
	0,43,20
	0,43,21
net2252	The number of pins: 2
	0,29,39
	0,29,39
net2253	The number of pins: 2
	0,33,51
	0,34,51
net2254	The number of pins: 2
	0,55,27
	0,55,30
net2255	The number of pins: 2
	0,37,45
	0,37,45
net2256	The number of pins: 2
	0,3,48
	0,3,51
net2257	The number of pins: 2
	0,2,65
	0,1,65
net2258	The number of pins: 2
	0,47,16
	0,48,16
net2259	The number of pins: 2
	0,50,39
	0,50,39
net2260	The number of pins: 2
	0,35,36
	0,36,36
net2261	The number of pins: 2
	0,20,12
	0,20,13
net2262	The number of pins: 2
	0,57,24
	0,56,22
net2263	The number of pins: 2
	0,26,29
	0,25,29
net2264	The number of pins: 2
	0,26,37
	0,25,37
net2265	The number of pins: 2
	0,37,54
	0,37,54
net2266	The number of pins: 2
	0,31,37
	0,31,39
net2267	The number of pins: 2
	0,23,46
	0,23,45
net2268	The number of pins: 2
	0,56,25
	0,55,25
net2269	The number of pins: 2
	0,48,16
	0,47,16
net2270	The number of pins: 2
	0,47,33
	0,48,36
net2271	The number of pins: 2
	0,38,33
	0,37,33
net2272	The number of pins: 2
	0,38,44
	0,38,45
net2273	The number of pins: 2
	0,14,12
	0,14,13
net2274	The number of pins: 2
	0,3,42
	0,3,40
net2275	The number of pins: 2
	0,40,45
	0,40,43
net2276	The number of pins: 2
	0,37,35
	0,37,37
net2277	The number of pins: 2
	0,54,30
	0,53,31
net2278	The number of pins: 2
	0,42,21
	0,42,21
net2279	The number of pins: 2
	0,29,26
	0,29,26
net2280	The number of pins: 2
	0,24,39
	0,24,40
net2281	The number of pins: 2
	0,22,34
	0,23,34
net2282	The number of pins: 2
	0,41,47
	0,40,47
net2283	The number of pins: 2
	0,22,36
	0,22,36
net2284	The number of pins: 2
	0,23,21
	0,23,21
net2285	The number of pins: 2
	0,27,36
	0,27,36
net2286	The number of pins: 2
	0,38,50
	0,39,50
net2287	The number of pins: 2
	0,30,20
	0,30,21
net2288	The number of pins: 2
	0,23,49
	0,23,52
net2289	The number of pins: 2
	0,61,39
	0,61,39
net2290	The number of pins: 2
	0,50,39
	0,49,39
net2291	The number of pins: 2
	0,48,37
	0,48,35
net2292	The number of pins: 2
	0,43,44
	0,44,44
net2293	The number of pins: 2
	0,32,17
	0,33,17
net2294	The number of pins: 2
	0,42,43
	0,42,43
net2295	The number of pins: 2
	0,34,43
	0,34,44
net2296	The number of pins: 2
	0,27,47
	0,27,47
net2297	The number of pins: 2
	0,25,53
	0,26,54
net2298	The number of pins: 2
	0,16,46
	0,16,46
net2299	The number of pins: 2
	0,16,47
	0,15,47
net2300	The number of pins: 2
	0,14,53
	0,14,53
net2301	The number of pins: 2
	0,35,36
	0,35,35
net2302	The number of pins: 2
	0,29,17
	0,30,17
net2303	The number of pins: 2
	0,35,51
	0,35,51
net2304	The number of pins: 2
	0,25,51
	0,25,50
net2305	The number of pins: 2
	0,24,51
	0,24,50
net2306	The number of pins: 2
	0,14,11
	0,14,12
net2307	The number of pins: 2
	0,14,50
	0,15,49
net2308	The number of pins: 2
	0,16,40
	0,16,40
net2309	The number of pins: 2
	0,44,37
	0,45,37
net2310	The number of pins: 2
	0,44,51
	0,44,50
net2311	The number of pins: 2
	0,35,48
	0,34,48
net2312	The number of pins: 2
	0,26,42
	0,26,42
net2313	The number of pins: 2
	0,23,49
	0,22,48
net2314	The number of pins: 2
	0,17,46
	0,16,46
net2315	The number of pins: 2
	0,7,36
	0,6,35
net2316	The number of pins: 2
	0,7,44
	0,7,45
net2317	The number of pins: 2
	0,64,36
	0,63,36
net2318	The number of pins: 2
	0,38,32
	0,39,33
net2319	The number of pins: 2
	0,18,44
	0,20,44
net2320	The number of pins: 2
	0,32,37
	0,32,38
net2321	The number of pins: 2
	0,42,35
	0,43,35
net2322	The number of pins: 2
	0,30,39
	0,30,40
net2323	The number of pins: 2
	0,35,52
	0,36,52
net2324	The number of pins: 2
	0,34,50
	0,33,49
net2325	The number of pins: 2
	0,28,43
	0,28,43
net2326	The number of pins: 2
	0,23,52
	0,22,51
net2327	The number of pins: 2
	0,16,51
	0,18,51
net2328	The number of pins: 2
	0,39,31
	0,39,31
net2329	The number of pins: 2
	0,38,45
	0,37,45
net2330	The number of pins: 2
	0,14,28
	0,13,28
net2331	The number of pins: 2
	0,61,30
	0,58,31
net2332	The number of pins: 2
	0,37,15
	0,37,14
net2333	The number of pins: 2
	0,34,55
	0,34,53
net2334	The number of pins: 2
	0,26,41
	0,26,42
net2335	The number of pins: 2
	0,21,24
	0,21,24
net2336	The number of pins: 2
	0,18,28
	0,18,28
net2337	The number of pins: 2
	0,51,37
	0,51,39
net2338	The number of pins: 2
	0,49,39
	0,48,39
net2339	The number of pins: 2
	0,38,37
	0,37,37
net2340	The number of pins: 2
	0,30,50
	0,29,50
net2341	The number of pins: 2
	0,40,47
	0,39,46
net2342	The number of pins: 2
	0,37,40
	0,37,39
net2343	The number of pins: 2
	0,27,21
	0,27,21
net2344	The number of pins: 2
	0,44,41
	0,43,40
net2345	The number of pins: 2
	0,40,44
	0,41,42
net2346	The number of pins: 2
	0,22,26
	0,21,25
net2347	The number of pins: 2
	0,60,37
	0,61,38
net2348	The number of pins: 2
	0,11,47
	0,11,48
net2349	The number of pins: 2
	0,34,47
	0,33,49
net2350	The number of pins: 2
	0,48,43
	0,47,43
net2351	The number of pins: 2
	0,41,27
	0,41,27
net2352	The number of pins: 2
	0,34,32
	0,33,31
net2353	The number of pins: 2
	0,60,26
	0,61,27
net2354	The number of pins: 2
	0,33,50
	0,31,50
net2355	The number of pins: 2
	0,25,51
	0,26,51
net2356	The number of pins: 2
	0,22,41
	0,22,41
net2357	The number of pins: 2
	0,14,54
	0,14,52
net2358	The number of pins: 2
	0,56,23
	0,55,22
net2359	The number of pins: 2
	0,29,53
	0,28,54
net2360	The number of pins: 2
	0,22,51
	0,22,51
net2361	The number of pins: 2
	0,13,53
	0,13,52
net2362	The number of pins: 2
	0,37,39
	0,36,38
net2363	The number of pins: 2
	0,29,18
	0,29,17
net2364	The number of pins: 2
	0,31,45
	0,31,46
net2365	The number of pins: 2
	0,36,44
	0,36,43
net2366	The number of pins: 2
	0,8,51
	0,9,51
net2367	The number of pins: 2
	0,58,32
	0,58,32
net2368	The number of pins: 2
	0,3,45
	0,4,46
net2369	The number of pins: 2
	0,13,42
	0,12,42
net2370	The number of pins: 2
	0,12,38
	0,12,40
net2371	The number of pins: 2
	0,27,37
	0,26,40
net2372	The number of pins: 2
	0,46,18
	0,46,16
net2373	The number of pins: 2
	0,58,36
	0,58,34
net2374	The number of pins: 2
	0,59,33
	0,59,33
net2375	The number of pins: 2
	0,57,20
	0,56,21
net2376	The number of pins: 2
	0,39,24
	0,40,25
net2377	The number of pins: 2
	0,28,36
	0,29,36
net2378	The number of pins: 2
	0,11,49
	0,14,50
net2379	The number of pins: 2
	0,8,50
	0,9,49
net2380	The number of pins: 2
	0,51,42
	0,51,42
net2381	The number of pins: 2
	0,0,2
	0,0,1
net2382	The number of pins: 2
	0,12,17
	0,12,18
net2383	The number of pins: 2
	0,21,46
	0,21,47
net2384	The number of pins: 2
	0,26,11
	0,26,10
net2385	The number of pins: 2
	0,25,12
	0,25,12
net2386	The number of pins: 2
	0,30,45
	0,30,45
net2387	The number of pins: 2
	0,11,35
	0,11,35
net2388	The number of pins: 2
	0,42,33
	0,43,33
net2389	The number of pins: 2
	0,46,43
	0,46,45
net2390	The number of pins: 2
	0,39,40
	0,39,41
net2391	The number of pins: 2
	0,26,38
	0,25,39
net2392	The number of pins: 2
	0,26,42
	0,26,42
net2393	The number of pins: 2
	0,20,41
	0,21,41
net2394	The number of pins: 2
	0,13,40
	0,14,41
net2395	The number of pins: 2
	0,14,49
	0,14,51
net2396	The number of pins: 2
	0,37,14
	0,37,14
net2397	The number of pins: 2
	0,37,13
	0,37,13
net2398	The number of pins: 2
	0,64,64
	0,63,64
net2399	The number of pins: 2
	0,52,25
	0,49,23
net2400	The number of pins: 2
	0,50,27
	0,50,27
net2401	The number of pins: 2
	0,44,39
	0,44,39
net2402	The number of pins: 2
	0,27,12
	0,27,10
net2403	The number of pins: 2
	0,30,35
	0,31,35
net2404	The number of pins: 2
	0,30,55
	0,31,56
net2405	The number of pins: 2
	0,27,51
	0,26,51
net2406	The number of pins: 2
	0,23,53
	0,23,54
net2407	The number of pins: 2
	0,37,52
	0,38,53
net2408	The number of pins: 2
	0,34,44
	0,34,46
net2409	The number of pins: 2
	0,22,54
	0,22,54
net2410	The number of pins: 2
	0,15,52
	0,15,52
net2411	The number of pins: 2
	0,12,48
	0,13,48
net2412	The number of pins: 2
	0,16,31
	0,15,32
net2413	The number of pins: 2
	0,10,46
	0,9,47
net2414	The number of pins: 2
	0,23,42
	0,23,42
net2415	The number of pins: 2
	0,24,54
	0,24,55
net2416	The number of pins: 2
	0,14,55
	0,13,56
net2417	The number of pins: 2
	0,60,66
	0,61,66
net2418	The number of pins: 2
	0,30,23
	0,29,23
net2419	The number of pins: 2
	0,11,51
	0,11,53
net2420	The number of pins: 2
	0,43,46
	0,44,45
net2421	The number of pins: 2
	0,39,31
	0,41,32
net2422	The number of pins: 2
	0,35,30
	0,37,30
net2423	The number of pins: 2
	0,30,25
	0,30,25
net2424	The number of pins: 2
	0,25,15
	0,25,17
net2425	The number of pins: 2
	0,27,52
	0,27,52
net2426	The number of pins: 2
	0,5,35
	0,6,35
net2427	The number of pins: 2
	0,35,19
	0,34,19
net2428	The number of pins: 2
	0,17,27
	0,17,27
net2429	The number of pins: 2
	0,23,50
	0,21,50
net2430	The number of pins: 2
	0,23,53
	0,23,53
net2431	The number of pins: 2
	0,20,54
	0,19,53
net2432	The number of pins: 2
	0,14,44
	0,15,43
net2433	The number of pins: 2
	0,12,48
	0,10,50
net2434	The number of pins: 2
	0,5,40
	0,5,39
net2435	The number of pins: 2
	0,9,34
	0,10,33
net2436	The number of pins: 2
	0,48,43
	0,48,43
net2437	The number of pins: 2
	0,19,19
	0,21,19
net2438	The number of pins: 2
	0,35,9
	0,35,10
net2439	The number of pins: 2
	0,44,49
	0,43,46
net2440	The number of pins: 2
	0,36,16
	0,36,18
net2441	The number of pins: 2
	0,23,31
	0,23,30
net2442	The number of pins: 2
	0,19,30
	0,19,30
net2443	The number of pins: 2
	0,33,41
	0,33,41
net2444	The number of pins: 2
	0,24,15
	0,26,15
net2445	The number of pins: 2
	0,58,39
	0,58,39
net2446	The number of pins: 2
	0,52,22
	0,52,21
net2447	The number of pins: 2
	0,51,37
	0,51,38
net2448	The number of pins: 2
	0,33,27
	0,34,26
net2449	The number of pins: 2
	0,38,53
	0,38,53
net2450	The number of pins: 2
	0,20,36
	0,21,36
net2451	The number of pins: 2
	0,27,51
	0,27,51
net2452	The number of pins: 2
	0,21,42
	0,20,43
net2453	The number of pins: 2
	0,11,39
	0,11,39
net2454	The number of pins: 2
	0,4,50
	0,4,49
net2455	The number of pins: 2
	0,58,27
	0,56,27
net2456	The number of pins: 2
	0,28,9
	0,28,10
net2457	The number of pins: 2
	0,22,54
	0,22,54
net2458	The number of pins: 2
	0,23,44
	0,23,45
net2459	The number of pins: 2
	0,15,53
	0,15,52
net2460	The number of pins: 2
	0,14,47
	0,15,48
net2461	The number of pins: 2
	0,18,54
	0,17,54
net2462	The number of pins: 2
	0,8,44
	0,8,45
net2463	The number of pins: 2
	0,15,49
	0,15,49
net2464	The number of pins: 2
	0,21,55
	0,21,56
net2465	The number of pins: 2
	0,13,52
	0,13,50
net2466	The number of pins: 2
	0,12,48
	0,12,48
net2467	The number of pins: 2
	0,13,55
	0,15,55
net2468	The number of pins: 2
	0,54,36
	0,53,37
net2469	The number of pins: 2
	0,15,55
	0,15,54
net2470	The number of pins: 2
	0,42,32
	0,42,31
net2471	The number of pins: 2
	0,37,24
	0,40,26
net2472	The number of pins: 2
	0,27,47
	0,27,46
net2473	The number of pins: 2
	0,18,19
	0,18,19
net2474	The number of pins: 2
	0,63,66
	0,62,66
net2475	The number of pins: 2
	0,52,19
	0,51,21
net2476	The number of pins: 2
	0,17,42
	0,18,41
net2477	The number of pins: 2
	0,22,41
	0,22,40
net2478	The number of pins: 2
	0,12,33
	0,12,32
net2479	The number of pins: 2
	0,3,47
	0,3,47
net2480	The number of pins: 2
	0,43,46
	0,44,47
net2481	The number of pins: 2
	0,42,38
	0,42,38
net2482	The number of pins: 2
	0,24,23
	0,22,22
net2483	The number of pins: 2
	0,8,55
	0,11,57
net2484	The number of pins: 2
	0,43,39
	0,48,39
net2485	The number of pins: 2
	0,17,55
	0,15,56
net2486	The number of pins: 2
	0,55,23
	0,55,23
net2487	The number of pins: 2
	0,32,17
	0,32,17
net2488	The number of pins: 2
	0,27,21
	0,25,21
net2489	The number of pins: 2
	0,10,27
	0,10,27
net2490	The number of pins: 2
	0,6,52
	0,6,51
net2491	The number of pins: 2
	0,45,43
	0,46,39
net2492	The number of pins: 2
	0,27,12
	0,27,12
net2493	The number of pins: 2
	0,39,19
	0,39,19
net2494	The number of pins: 2
	0,12,18
	0,12,19
net2495	The number of pins: 2
	0,10,33
	0,11,33
net2496	The number of pins: 2
	0,42,30
	0,42,32
net2497	The number of pins: 2
	0,40,32
	0,40,31
net2498	The number of pins: 2
	0,42,49
	0,41,49
net2499	The number of pins: 2
	0,33,19
	0,33,18
net2500	The number of pins: 2
	0,34,44
	0,33,45
net2501	The number of pins: 2
	0,34,42
	0,31,42
net2502	The number of pins: 2
	0,26,26
	0,26,27
net2503	The number of pins: 2
	0,32,42
	0,32,42
net2504	The number of pins: 2
	0,25,37
	0,26,37
net2505	The number of pins: 2
	0,24,42
	0,24,42
net2506	The number of pins: 2
	0,15,55
	0,14,55
net2507	The number of pins: 2
	0,13,50
	0,14,49
net2508	The number of pins: 2
	0,2,29
	0,2,28
net2509	The number of pins: 2
	0,36,36
	0,36,36
net2510	The number of pins: 2
	0,39,40
	0,39,41
net2511	The number of pins: 2
	0,35,45
	0,33,45
net2512	The number of pins: 2
	0,31,51
	0,30,52
net2513	The number of pins: 2
	0,21,53
	0,21,52
net2514	The number of pins: 2
	0,16,43
	0,15,43
net2515	The number of pins: 2
	0,9,48
	0,10,48
net2516	The number of pins: 2
	0,53,31
	0,51,33
net2517	The number of pins: 2
	0,29,10
	0,29,10
net2518	The number of pins: 2
	0,31,42
	0,31,43
net2519	The number of pins: 2
	0,24,40
	0,24,40
net2520	The number of pins: 2
	0,22,41
	0,22,41
net2521	The number of pins: 2
	0,18,41
	0,19,42
net2522	The number of pins: 2
	0,18,51
	0,16,52
net2523	The number of pins: 2
